Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,683,136,3232,4076,2003,2005,2004,2004,260,264,281,282,23,33,60,58,17,24,33,33,757.6,58179,59296,4388721,13909673,15537004,6426,21170,24780
Chemical tanker,383,96,1101,1737,2009,2008,2010,2010,276,421,388,394,25,50,119,123,42,65,78,78,547.9,41665,42465,1726004,5854478,7282328,4507,17157,21719
General cargo,327,155,389,546,2000,2002,2001,2001,268,255,269,262,30,55,68,68,38,63,84,83,142.2,10784,10991,1061511,3100481,4357251,3246,12120,16108
Miscellaneous - fishing,223,25,552,333,1992,1990,1989,1989,605,1957,2650,2566,114,445,673,925,34,257,326,350,245.8,18466,18821,2342696,5196551,5907952,10505,24724,29309
Bulk carrier,155,120,1017,1712,2006,2009,2009,2009,257,268,279,280,49,150,204,206,68,99,119,120,168.4,12979,13229,744080,1656689,2164028,4801,17115,20699
Oil tanker,91,15,372,606,2000,2007,2008,2008,231,503,410,429,28,82,192,203,32,81,83,87,159.7,12198,12432,556173,870930,942648,6112,17904,23053
Vehicle,81,19,580,178,2006,2005,2006,2006,209,237,233,234,17,22,24,24,9,13,12,12,60.7,4686,4776,179945,793365,918798,2222,8444,9088
Service - tug,51,9,22,17,1983,1990,1984,1984,487,1708,1481,975,85,1142,1261,1195,46,260,559,551,79.3,5950,6064,422158,998277,1336640,8278,21374,28859
Liquefied gas tanker,46,29,404,455,2008,2009,2011,2011,316,448,416,406,26,88,185,176,32,55,45,45,96.0,7367,7508,231333,899165,890520,5029,31418,43666
Service - other,44,15,109,86,1998,1996,2001,2000,803,1519,1323,989,294,642,728,852,30,135,299,358,81.7,6136,6254,599473,1229986,1325384,13624,30317,34232
Cruise,17,11,90,11,1988,1993,1996,1993,259,221,217,219,18,19,21,21,8,14,20,18,27.7,2134,2175,36078,246100,333499,2122,12405,15179
Ro-Ro,6,2,44,23,2001,2006,2005,2004,216,246,248,244,20,60,56,51,12,12,10,10,5.9,461,470,24415,44990,52455,4069,9564,10152
Refrigerated bulk,2,2,2,2,1999,1999,1991,1991,236,236,297,312,20,20,31,31,115,115,51,49,2.8,214,218,6184,13513,15221,3092,6590,7115
Ferry-RoPax,2,1,54,4,1996,1996,1996,1996,614,614,614,614,122,122,156,156,46,46,42,42,16.7,1278,1302,26987,66736,81885,13493,28803,26233
