int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,25,7,2002,2004,2007,2007,177364848,308183571,179,638,764,795,31,2379
Service - tug,53,10,1986,1985,1996,1995,6939755,5909453,111,701,232,179,24,1779
Cruise,158,43,1996,1999,2011,2010,4818168868,386838025,167,352,635,573,879,67751
General cargo,112,22,1981,1988,2003,2003,549177050,728305215,157,1079,1645,1679,81,6187
Ferry-pax only,4,2,1999,1998,1995,1995,4084335,613937,146,8364,1700,1682,7,499
Chemical tanker,27,12,2011,2007,2011,2011,509149205,843337609,211,1940,1891,1987,100,7694
Refrigerated bulk,1,1,1993,1993,1993,1993,5669024,6236469,775,775,775,775,14,1079
Container,2,2,2012,2012,2008,2008,3548099,4274910,291,291,337,342,1,84
Offshore,339,14,1982,1984,1983,1983,39005882,57513992,131,398,148,147,149,11193
Vehicle,1,1,2010,2010,2010,2010,1840724,500326,91,91,91,91,0,19
Ro-Ro,211,8,1991,1995,1991,1990,137260762,142928630,112,142,137,146,115,8690
Ferry-RoPax,47,2,1970,1972,1970,1970,3519126,933124,95,95,99,99,5,361
Service - other,2,1,1991,1991,1991,1991,470545,194745,263,263,263,263,1,49
Bulk carrier,1,1,2014,2014,2014,2014,114988322,199171814,3149,3149,3149,3149,10,755
Miscellaneous - fishing,12,2,1957,1968,1960,1959,334078,271085,121,150,130,128,3,222
Liquefied gas tanker,14,1,2007,2007,2007,2007,10520173,10905407,148,148,157,157,8,617
