int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,25,7,2002,2004,2005,2005,50033197,84322005,174,215,215,218,20,1477
Service - tug,53,10,1986,1985,1997,1995,9473921,7944795,126,812,317,241,38,2824
Chemical tanker,27,12,2011,2007,2009,2009,74385892,118440698,158,385,276,279,31,2325
Ferry-pax only,4,2,1999,1998,1998,1998,308571,46717,129,303,128,128,0,29
Cruise,158,43,1996,1999,2011,2010,4839434587,399025883,162,421,638,591,966,74452
General cargo,112,22,1981,1988,2005,2005,364542256,468832625,128,837,1092,1081,65,5011
Container,2,2,2012,2012,2010,2010,11047155,13116125,1044,1044,1048,1048,4,311
Refrigerated bulk,1,1,1993,1993,1993,1993,13806842,15188848,1888,1888,1888,1888,6,486
Offshore,339,14,1982,1984,1983,1983,38696624,57782995,125,213,147,148,125,9413
Ro-Ro,211,8,1991,1995,1990,1990,275613277,309194469,123,371,276,317,181,13725
Vehicle,1,1,2010,2010,2010,2010,3820002,1038313,189,189,189,189,0,36
Ferry-RoPax,47,2,1970,1972,1970,1970,3650860,968167,94,94,103,103,7,539
Service - other,2,1,1991,1991,1991,1991,459841,190315,257,257,257,257,1,47
Bulk carrier,1,1,2014,2014,2014,2014,101130130,175167976,2769,2769,2769,2769,12,943
Miscellaneous - fishing,12,2,1957,1968,1973,1971,848037,569989,99,833,330,268,16,1183
Liquefied gas tanker,14,1,2007,2007,2007,2007,12027756,12468195,165,165,180,180,7,537
