int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,113,21,1995,1998,1998,1998,6815879191,646817465,461,862,768,744,1491,115467
Container,73,16,2006,2009,2010,2010,699459031,864213147,559,603,622,618,154,11824
Miscellaneous - fishing,3,3,2011,2011,2010,2011,4186072,1531045,4055,6037,5846,5358,6,453
Service - tug,4,3,1983,1985,1996,1998,926046,769482,791,744,865,949,7,524
Bulk carrier,4,4,2015,2015,2015,2015,92007749,147292385,1093,943,942,938,12,898
General cargo,32,14,2006,2007,2007,2007,394975199,451519349,721,1291,827,863,63,4881
Ferry-RoPax,1,1,1986,1986,1986,1986,1016722,529452,1455,1455,1455,1455,1,102
Service - other,4,4,2000,2000,2005,1999,21170941,3078695,2528,2683,2747,2327,7,560
Chemical tanker,11,5,2013,2013,2013,2013,581390948,973094201,621,1722,1761,1758,68,5246
Liquefied gas tanker,14,4,2011,2012,2011,2011,62926380,64919083,1169,1050,1125,1125,28,2140
Ro-Ro,1,1,2014,2014,2014,2014,9914,12914,43,43,43,43,0,24
Ferry-pax only,1,1,2016,2016,2016,2016,178769,27108,733,733,733,733,0,19
