Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,121,13,791,858,2008,2005,2005,2005,522,902,1153,1139,54,82,139,137,8,17,20,21,133.7,10273,10471,751918,2352146,3319865,6214,28146,36638
Container,88,11,2087,2679,2007,2008,2011,2010,1407,1465,1839,1855,110,114,242,242,16,17,26,26,445.9,34293,34951,3156777,10697750,12171895,35872,129117,154376
Ro-Ro,37,2,18,15,2017,2016,2014,2014,319,1331,1001,920,38,192,949,915,7,32,88,85,56.8,4264,4346,53367,411443,194156,1442,3520,5018
Cruise,23,19,1593,167,2002,2002,2003,2003,807,1107,1268,1289,64,69,91,94,10,12,16,16,405.9,31386,31989,720393,3269020,3582976,31321,125254,128023
Miscellaneous - fishing,17,13,292,231,1992,1990,1994,1994,8303,10473,9821,9625,1067,1600,1855,1603,124,117,153,151,115.6,8678,8845,1627109,3609242,4103343,95712,225255,267026
Chemical tanker,14,10,1575,2613,2012,2012,2013,2013,4625,3639,3750,3750,354,335,418,419,45,48,48,48,189.9,14713,14996,503976,3690773,4255390,35998,310863,382143
Liquefied gas tanker,11,2,33,33,2011,2008,2010,2010,523,1411,602,606,57,166,138,140,22,176,110,112,16.6,1257,1281,24561,71158,78581,2233,12225,16076
Service - tug,7,1,1,0,2001,2001,2001,2001,344,344,342,342,72,72,158,158,10,10,11,11,1.6,119,121,10361,24499,32803,1480,3822,5160
Service - other,5,5,67,40,1995,1995,1995,1995,2060,2899,2187,2152,244,434,400,416,50,206,165,159,20.7,1564,1594,281958,578517,623387,56392,125481,141686
Oil tanker,3,2,563,872,2007,2006,2007,2007,5348,6018,6347,6347,557,574,613,613,51,52,48,48,73.1,5659,5768,778404,1869245,2108669,259468,789569,923363
Bulk carrier,1,1,47,74,2015,2015,2015,2015,1896,1896,1896,1896,158,158,158,158,115,115,115,115,4.0,312,318,32991,65294,80986,32991,105320,122454
Ferry-RoPax,1,1,0,0,1998,1998,1998,1998,376,376,376,376,50,50,50,50,0,0,0,0,0.3,24,25,2132,4613,6133,2132,4760,6784
