dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,830,28,1997,1994,1984,1987,1419972331,961411649,280,1705,364,399,499,37536
Chemical tanker,701,133,2006,2010,2006,2006,6635817254,10842695295,347,451,381,381,1986,153563
Container,151,26,2004,2006,2003,2003,1737337430,2049648849,513,568,610,609,348,26770
Bulk carrier,514,301,2012,2012,2012,2012,5651150105,9486028990,397,400,394,394,645,49918
Service - tug,114,25,1999,1998,1998,1998,31774764,21614796,396,688,824,790,151,11307
General cargo,197,61,2002,2008,2009,2009,910814209,1264892058,458,409,414,412,173,13263
Liquefied gas tanker,198,15,1993,2005,1997,1997,1104112258,1216910484,185,410,293,285,448,33726
Cruise,42,22,1999,2000,2001,2001,419310967,44618778,266,242,240,236,129,9971
Offshore,41,6,1986,1984,1979,1984,30305269,29347453,276,384,692,471,52,3909
Service - other,13,8,2000,2002,2000,2000,423492770,603521324,1249,2133,1751,1826,79,5970
Oil tanker,178,38,2002,2005,2005,2005,1796462187,3005955179,307,504,387,390,1106,85530
Refrigerated bulk,15,8,1999,1996,2000,2000,192289614,212108361,472,553,1038,1075,120,9068
Ferry-RoPax,2,1,2007,2007,2007,2007,4670261,394568,200,200,200,200,2,128
