Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,188,17,17,14,2008,2007,2007,2005,103,601,261,257,70,330,545,515,28,115,106,103,54.5,4095,4174,367568,869189,1163797,1955,5049,6816
Chemical tanker,158,25,1022,1552,2008,2008,2009,2009,401,629,569,561,62,183,124,128,39,43,80,82,440.0,33452,34094,1504804,4647723,5525427,9524,32837,39101
Bulk carrier,82,25,867,1467,1997,2005,2004,2005,658,679,761,782,68,60,109,113,58,70,59,57,104.4,8039,8193,682453,1519922,1967461,8323,28317,34549
Oil tanker,70,22,789,1288,2008,2008,2009,2009,806,335,495,472,68,54,72,70,61,37,68,68,243.6,18651,19009,1608317,3073072,3420957,22976,62451,76477
General cargo,37,13,199,283,2003,2001,2006,2007,467,659,681,693,66,66,77,78,27,161,72,70,42.0,3211,3273,276019,852303,1198284,7460,32922,42670
Container,32,10,413,517,2006,2005,2005,2005,765,741,771,779,58,74,68,68,14,23,29,30,80.4,6174,6293,461851,1700106,1914617,14433,56514,68009
Cruise,20,18,651,70,2004,2003,2007,2004,646,648,654,659,40,41,41,42,9,11,10,10,139.1,10774,10981,244190,1444713,1755090,12209,61770,67950
Ro-Ro,11,5,39,23,1988,1994,1991,1991,585,869,504,493,69,822,312,383,35,45,79,76,40.8,3067,3126,56707,373799,190211,5155,12492,16968
Service - other,8,6,65,99,2004,2004,2001,2001,419,1320,1245,1290,46,702,294,279,38,108,412,417,23.3,1775,1809,692971,1421823,1532101,86621,192747,217639
Liquefied gas tanker,6,4,5341,4284,2005,2007,2001,2001,1685,7492,9037,8822,110,449,1829,1828,11,59,19,19,936.0,55376,56439,997889,7455681,6191014,166315,1504257,2337424
Miscellaneous - fishing,1,1,6,7,1979,1979,1979,1979,5260,5260,5260,5260,402,402,402,402,85,85,85,85,4.3,326,332,46234,102556,116596,46234,108810,128988
