Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Mina Raysut,199,44,1362,1709,2006,2004,2007,2007,549,633,801,847,74,78,93,104,56,76,75,92,393.9,30069,30646,2025189,5366033,6303511,10177,32256,38975
Salalah,120,19,146,208,2008,2006,2007,2007,114,447,458,466,68,150,149,155,22,37,38,39,87.1,6603,6729,407390,1100624,1345210,3395,10428,12860
Port Of Sohar,114,42,1331,2073,2005,2003,2007,2008,791,865,865,879,63,219,118,120,55,98,58,56,321.3,24552,25023,1876205,4889571,5626909,16458,53056,64682
Mina Qabus,72,49,1094,928,2004,2005,2006,2006,626,650,604,481,52,62,69,84,16,53,80,103,202.5,15181,15472,1143661,3580610,4117563,15884,54129,65952
Duqm,28,17,84,113,1997,1997,1998,1998,390,433,455,460,45,212,58,48,40,90,68,71,28.1,2143,2184,136995,363485,446985,4893,16579,20854
Qalhat Lng Terminal,27,5,3938,3217,2007,2008,2001,2001,231,8386,7250,5284,52,526,2243,2203,27,37,13,14,732.2,43973,44817,852471,5735215,4881255,31573,255724,391574
Sur,20,11,1302,1093,2007,2007,2000,2001,213,1406,3382,2370,34,95,712,682,35,29,12,13,244.7,14890,15176,310864,1961250,1696677,15543,117688,178079
Mina Al Fahl,15,6,26,42,2008,2009,2008,2008,142,283,96,88,85,509,170,123,38,176,73,67,40.2,3062,3120,53548,134722,164055,3570,10381,12759
Fahal,13,6,103,186,2007,2007,2007,2007,300,2589,332,337,18,926,68,49,52,58,83,84,48.1,3676,3746,109349,254702,297163,8411,24401,29729
Muscat,5,5,22,34,1999,1999,2001,2001,306,437,282,277,171,133,140,142,5,4,4,4,10.4,792,807,23331,74672,96225,4666,19015,24784
