Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1559,334,187108,208419,2007,2007,2009,2009,1174,2019,1907,1896,85,132,193,194,21,28,28,28,19315.6,1495202,1523910,118423748,332136740,372316777,75961,246625,289233
Bulk carrier,839,541,76521,141549,2007,2009,2008,2008,966,2213,2380,2462,166,241,504,513,58,87,108,109,5198.1,402449,410176,35841672,86404652,102760137,42720,150301,181205
Oil tanker,769,484,180751,341782,2006,2007,2010,2010,1006,2710,3460,3502,164,280,543,545,48,95,74,73,12949.9,1001761,1020995,107137082,191440786,209448119,139320,370606,460497
Chemical tanker,674,378,26861,44409,2008,2009,2011,2011,1081,1954,1974,1991,139,194,346,348,39,72,75,75,4335.2,334650,341075,14937841,75701046,88166532,22163,130091,158346
Liquefied gas tanker,373,135,107938,82515,2008,2008,2006,2006,1883,3044,4552,4200,169,224,516,504,30,77,89,86,14970.6,935185,953141,22382878,146455556,124481502,60008,479927,727411
General cargo,339,193,4708,6460,2002,2003,2006,2006,697,1130,1139,1136,76,129,244,244,44,90,89,88,883.2,67715,69016,3834334,12720785,18297626,11311,57072,75987
Vehicle,260,181,14540,4788,2008,2008,2008,2008,335,959,942,939,23,63,208,205,11,20,24,28,873.0,67612,68911,4848483,21376612,24756295,18648,70881,76284
Cruise,103,42,7637,794,2006,2003,2005,2005,533,1180,972,1026,37,74,107,113,16,51,62,61,1787.5,138466,141124,3234556,15611022,17399124,31403,132502,136742
Service - tug,82,52,77,63,2005,2004,2006,2006,348,1335,1170,1140,131,683,1151,933,15,110,220,235,117.5,8831,9001,1617038,3823807,5119871,19720,50921,68751
Ro-Ro,64,40,2236,1288,2003,2002,2002,2000,387,1622,2260,2295,62,355,564,557,26,180,160,172,487.8,37505,38225,1460938,3343688,3304213,22827,53809,58660
Ferry-RoPax,54,4,132,13,2012,2012,2010,2011,719,986,1750,1548,22,27,176,145,40,61,195,186,195.2,14653,14935,277714,612705,804885,5143,11412,15482
Service - other,19,13,559,547,2003,2002,2006,2005,1178,3379,3146,2952,275,555,940,1044,57,665,1140,1131,156.4,11837,12065,3818557,7834841,8442515,200977,447207,504960
Miscellaneous - fishing,4,4,23,16,1975,1975,1976,1977,3900,6462,6105,5745,378,755,1482,1226,772,696,339,408,27.2,2043,2082,115667,256572,291696,28917,68054,80674
Refrigerated bulk,1,1,28,33,1997,1997,1997,1997,5519,5519,5519,5519,426,426,426,426,48,48,48,48,11.0,839,855,97754,213597,240597,97754,208313,224915
