Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Of Sohar,2520,1245,123844,181263,2007,2007,2008,2008,542,1405,1510,1716,58,168,388,441,30,78,84,97,12804.3,986470,1005410,71432685,213055039,246303617,28346,103827,126310
Salalah,1052,314,156186,177003,2008,2007,2009,2009,1604,2263,2052,2070,106,161,196,199,21,40,31,32,16209.8,1254919,1279013,97515463,273321723,305595455,92695,301743,354332
Mina Raysut,533,398,40476,57504,2005,2006,2008,2009,1753,2324,2431,2467,184,238,290,305,36,103,74,76,4813.9,372008,379151,28950223,76816185,91255334,54316,189002,224634
Mina Qabus,460,334,95134,148246,2006,2008,2010,2011,1533,3143,3426,4305,160,285,573,634,33,71,66,67,8540.1,644492,656867,49774086,127631932,135142708,108205,360580,459128
Duqm,171,145,6547,10068,2007,2007,2007,2008,900,1594,1416,1337,113,250,407,414,42,117,120,125,1099.5,84739,86366,6399340,14712355,17612355,37423,117507,143898
Fahal,125,112,56315,106190,2007,2008,2009,2009,3275,3113,3622,3744,278,293,493,498,42,77,70,71,3462.5,267960,273105,26219537,46179702,48175876,209756,578635,722522
Sur,119,59,39238,30541,2005,2006,2005,2005,2536,3177,5382,4233,205,366,530,507,23,79,33,36,5623.7,338888,345394,8244042,50870161,43891864,69278,530894,802628
Mina Al Fahl,77,68,43788,84093,2010,2010,2009,2009,5214,3630,4002,4000,421,311,461,460,45,56,71,71,2438.0,188849,192475,20373315,34670544,36249477,264589,717817,898000
Qalhat Lng Terminal,72,38,44425,33005,2006,2006,2005,2005,5814,4853,6334,6098,338,301,594,590,24,80,158,148,6040.9,360841,367769,7771600,56489962,47320344,107939,951867,1470716
Muscat,11,11,3166,4765,2008,2008,2012,2011,3695,6015,5361,4993,470,607,626,600,31,40,31,30,275.5,19584,19960,1347972,4184803,4282861,122543,529820,700375
