Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,287,85,3908,2505,1998,1999,2000,2007,329,902,372,921,24,120,141,318,21,61,39,61,1031.3,78890,80405,2945181,10452689,12321485,10262,36632,41545
Mexico,125,32,3171,1437,2001,2000,2002,2004,810,1311,871,958,60,337,382,247,24,62,30,42,734.9,56667,57755,2833930,10278740,11276969,22671,80934,87379
Jamaica,74,40,1606,1624,1999,2002,2003,2005,697,1014,984,1472,48,118,316,503,21,105,59,88,219.0,16904,17228,1371206,3534915,4423459,18530,57347,69020
Dominican Republic,73,26,489,621,2003,2002,2004,2004,470,579,562,563,39,51,48,49,26,66,40,41,118.6,9084,9258,664163,2188067,2550807,9098,36498,45517
Colombia,61,19,1751,1648,2008,2006,2008,2008,1110,1074,1201,1227,73,98,87,92,33,24,31,37,310.5,23960,24420,1556070,5892089,6671199,25509,99779,118844
Venezuela (Bolivarian Republic of),59,23,3326,5725,2003,2005,2001,2001,1395,1709,1682,1703,147,186,296,297,45,61,74,76,497.5,38487,39226,2584676,7566101,8489162,43808,154755,192407
Curaçao,43,23,1532,2626,2001,2002,2000,2000,1145,1130,1285,1306,86,95,128,129,40,51,75,76,209.8,16222,16533,1474825,3910508,4523921,34298,112485,139148
Canada,40,26,2567,3050,2006,2005,2003,2006,2068,3236,3111,2771,178,334,412,321,42,143,128,160,354.9,27263,27787,1928224,6352456,7773536,48206,191435,234035
Cayman Islands,39,17,677,338,1989,1992,1997,2001,450,456,531,942,39,62,160,482,23,28,34,61,166.1,12842,13089,443337,1415685,1547901,11368,35299,38486
Haiti,37,18,159,162,1998,1994,1999,2001,290,466,446,457,22,45,47,53,33,82,46,52,44.2,3387,3452,231474,713254,843723,6256,21003,25382
Trinidad and Tobago,33,13,458,558,2005,2006,2007,2007,1046,1627,1556,1553,118,184,178,197,22,120,105,131,107.4,8170,8327,409430,1120226,1435110,12407,47417,58662
