Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cienfuegos,301,76,2748,3549,1998,1999,2000,2001,498,647,642,710,45,142,94,106,57,71,72,85,818.5,62813,64019,2821067,8430965,10114424,9372,33670,41917
Santiago De Cuba,283,111,2701,3649,1999,2002,2002,2002,602,670,616,644,50,158,141,153,37,94,62,68,705.4,54189,55229,2929854,8656217,10456332,10353,38648,47345
Havana,226,84,2219,2513,1999,1999,2000,2003,507,1619,622,583,46,228,210,218,38,172,131,141,651.2,50026,50986,2765428,7650801,9395317,12236,41834,52247
Matanzas,187,44,2608,4281,2000,2001,1999,1999,495,831,637,636,60,176,151,145,42,248,137,139,660.1,50912,51890,3169181,7566210,8894829,16947,52490,64073
Puerto De Pastelillo,102,32,946,1472,1998,2001,2000,2000,415,541,538,534,40,93,115,113,45,60,58,57,270.3,20822,21222,826510,2765821,3186687,8103,36609,45331
Mariel,88,30,448,575,1997,2000,2002,2002,576,614,612,605,58,159,77,80,58,75,51,56,131.2,10034,10226,708991,2113890,2636408,8057,28837,36772
Moa,82,23,846,1315,2002,1999,2002,2002,502,571,715,720,39,60,128,128,63,135,81,79,194.9,14990,15278,644564,2302779,2734232,7861,34882,42968
Nueva Gerona,66,14,74,91,2000,1994,2003,2004,356,594,451,459,34,147,64,59,42,116,78,80,62.3,4700,4790,271063,978577,858054,4107,11932,15241
Puerto Padre,40,20,154,242,2009,2004,2007,2007,289,474,540,554,43,159,277,283,54,92,174,178,33.8,2577,2626,150592,412593,599973,3765,15604,20176
Bufadero,37,23,208,320,1998,2003,2003,2003,441,540,546,540,103,179,244,243,40,91,101,100,63.7,4859,4953,209912,615348,868809,5673,23511,31160
Casilda,33,12,58,50,1994,1992,2001,2002,303,764,507,598,32,53,82,90,17,19,85,28,31.7,2394,2440,164890,306235,381712,4997,11189,14504
Varadero,29,22,399,684,1999,1999,1999,1999,532,690,623,627,58,104,124,121,12,24,27,26,58.6,4524,4611,495709,1153541,1383769,17093,49523,60607
Antilla,28,4,18,2,2012,1996,1997,1998,144,225,256,228,22,70,23,39,86,42,12,40,13.9,1058,1079,13467,56169,77245,481,1889,2449
Puerto Da Vita,20,12,148,243,2003,2002,2003,2003,464,578,762,815,47,60,119,121,60,43,52,51,24.0,1846,1881,212991,496222,660060,10650,33169,42464
Niquero,17,11,61,79,1993,1992,2006,2006,336,1007,924,841,68,246,250,246,93,59,27,29,17.5,1330,1355,127665,300729,401731,7510,22227,29101
Guayabal,12,9,27,44,2009,2006,2006,2006,306,524,409,408,70,131,43,38,66,68,28,26,9.2,702,715,36438,118583,150370,3036,11869,14862
Preston,10,7,121,207,1994,1994,1994,1994,451,394,430,431,51,53,99,98,60,50,108,109,43.0,3327,3391,135672,343228,388855,13567,42370,50911
Palo Alto,9,6,8,12,1994,1995,2001,2001,217,340,380,388,23,49,90,88,97,76,71,72,2.5,185,189,31797,90468,127918,3533,11867,16472
Cabanas,9,7,57,93,1996,1996,2003,2003,389,581,557,559,66,74,57,56,9,33,16,15,9.1,703,716,48967,181329,216097,5441,24145,29778
Sagua La Grande,8,7,95,157,2000,2000,1999,1999,533,605,623,623,36,76,89,86,10,134,62,60,18.0,1371,1397,119971,298475,353150,14996,47356,57923
Nicaro,8,6,49,75,2000,1998,2004,2004,846,639,607,588,106,307,162,153,34,32,22,21,14.2,1080,1101,102127,216393,249633,12766,34567,42649
Manati,8,8,131,220,2000,2000,2003,2003,877,782,816,827,43,146,66,64,30,56,74,75,15.5,1191,1214,127536,286183,372382,15942,50979,63173
Cayo Coco,8,8,34,62,1994,1994,1995,1995,172,207,393,433,20,24,42,43,7,8,11,11,2.2,166,169,40342,92542,106930,5043,13769,17449
Isabela De Sagua,7,5,242,456,1994,1994,1994,1994,632,406,1083,1116,60,62,390,392,15,16,16,16,32.5,2514,2562,248659,537464,598265,35523,89662,111848
Bahia Honda,6,6,185,318,2003,2003,2004,2004,513,1527,2680,2729,156,185,325,325,7,8,18,18,25.3,1956,1994,91934,477897,556326,15322,95713,117644
La Coloma,6,6,74,74,1996,1996,2001,2002,504,648,783,1306,60,62,45,62,29,48,34,52,14.2,1091,1112,54808,213057,225358,9135,37352,41208
Caibarien,6,6,32,52,1998,1998,2002,2003,482,441,534,538,51,75,46,45,8,15,15,15,4.4,337,343,32049,95389,112357,5341,20992,25952
Baracoa,5,5,61,104,1999,1999,2002,2002,558,471,586,590,106,306,383,373,2,9,13,13,15.4,1191,1214,54404,132376,164156,10881,38135,47364
Banes,4,4,37,66,1987,1987,1993,1993,583,938,451,459,80,148,73,64,224,217,96,86,15.4,1188,1211,56775,118868,129890,14194,33797,40558
Manzanillo,3,3,3,3,1977,1977,1977,1977,249,348,435,448,17,60,113,114,210,195,242,244,1.8,134,137,21819,44768,48240,7273,16184,18274
Tunas De Zaza,3,2,35,61,1993,1989,2002,2002,862,877,646,645,50,483,46,43,8,9,10,10,20.2,1527,1556,14835,90042,103299,4945,35480,43605
Bahia De Sagua De Tanamo,3,3,37,64,2002,2002,2001,2000,566,567,427,409,35,39,31,30,22,23,32,32,4.5,349,356,24915,102916,119383,8305,40324,49679
Nuevitas,2,2,475,815,2004,2004,2005,2005,6667,6667,7526,7499,574,574,1128,1128,20,20,32,32,48.8,3782,3854,637490,1010028,1365950,318745,740593,931949
Jucaro,2,2,1,0,1996,1996,1980,1982,1962,1962,1716,1327,682,682,818,802,793,793,1436,1359,39.6,2973,3030,10820,14119,14905,5410,8682,10742
Ceiba Hueca,2,2,11,13,1992,1992,1994,1994,795,795,582,570,140,140,169,172,26,26,44,45,4.3,323,330,20819,42131,45331,10409,35545,45975
Cardenas,2,2,5,6,1992,1992,1995,1998,1640,1640,400,338,72,72,64,51,348,348,292,206,2.7,202,206,18776,37551,40811,9388,22491,26279
Puerto Tarafa,2,1,2,3,1972,1972,1972,1972,619,619,619,619,80,80,87,87,48,48,60,60,1.3,94,96,6922,15700,18913,3461,10435,13025
Media Luna,1,1,11,18,2000,2000,2000,2000,505,505,505,505,44,44,44,44,7,7,7,7,1.3,101,103,15771,37873,42724,15771,47993,56125
Camaguey,1,1,8,14,2002,2002,2002,2002,294,294,294,294,9,9,9,9,12,12,12,12,1.2,93,95,2685,19666,22675,2685,23190,28508
Boca Grande,1,1,96,166,2002,2002,2002,2002,3501,3501,3501,3501,250,250,250,250,10,10,10,10,13.5,1049,1069,31982,234217,270047,31982,276184,339511
Gibara,1,1,2,3,1999,1999,1999,1999,475,475,475,475,48,48,48,48,15,15,15,15,0.4,27,28,5444,15969,22022,5444,21809,27499
