Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,171,44,14446,1283,2005,2002,2008,2007,726,1213,833,841,43,79,59,61,8,14,9,9,2707.9,208011,212005,3743713,21816866,25148929,21893,112373,122311
Container,101,3,343,384,1996,2001,1994,1995,705,764,714,717,58,60,60,60,16,18,22,21,121.3,9243,9420,833152,2138100,2415011,8249,21557,24350
General cargo,39,14,436,569,2010,2007,2009,2008,1219,1940,1747,1737,94,204,190,193,34,34,41,42,95.8,7306,7446,684280,2079331,2996868,17546,68499,95658
Vehicle,11,10,1910,603,2006,2007,2007,2007,3063,3844,3709,3787,211,264,392,407,32,47,41,41,124.7,9646,9831,610919,2693498,3119345,55538,211100,227190
Chemical tanker,10,9,204,334,2006,2007,2007,2007,940,1210,1219,1212,82,120,157,157,50,116,183,171,56.6,4358,4441,120997,583971,679346,12100,67402,81653
Liquefied gas tanker,6,4,227,195,2011,2009,2008,2009,1240,1438,1786,1754,114,132,121,121,34,32,58,57,28.5,1911,1948,61721,352647,311655,10287,78929,117476
Bulk carrier,6,4,86,146,1991,1995,2003,2003,1347,1617,1228,1187,142,250,326,325,18,37,35,37,14.2,1090,1111,97686,241715,312916,16281,59012,74353
Service - other,5,3,39,19,1991,1992,1993,1992,2732,4809,4335,3745,1196,1476,1998,1996,48,92,117,108,30.4,2286,2330,132920,272722,293874,26584,59154,66793
Ferry-pax only,2,2,1,1,1924,1924,1924,1928,1864,1864,1870,1759,318,318,319,311,119,119,111,157,1.5,112,114,55801,113644,143157,27901,64882,85535
Oil tanker,2,2,38,62,2006,2006,2005,2005,1166,1166,1034,1027,100,100,89,88,60,60,65,65,9.2,706,720,67016,128661,140300,33508,106375,131002
Miscellaneous - fishing,1,1,1,1,1996,1996,1996,1996,1633,1633,1633,1633,150,150,150,150,29,29,29,29,1.8,139,141,4605,10214,11613,4605,10837,12847
Ferry-RoPax,1,1,4,0,2018,2018,2018,2018,1328,1328,1328,1328,165,165,165,165,7,7,7,7,0.9,64,66,2648,6548,8034,2648,5652,5148
