int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pelee I North Wharf,4,4,1978,1978,1980,1979,12307623,22675760,171,157,152,155,14,1026
Minto,2,2,2016,2016,2018,2018,318191212,364060687,5165,5165,7064,7133,54,4161
Harbour Breton,2,2,2003,2003,2000,2000,16052034,14414518,1111,1111,1547,1414,4,282
Metiskow,1,1,1990,1990,1990,1990,3931829,3247182,19561,19561,19561,19561,9,706
Musquodoboit Harbour,1,1,2017,2017,2017,2017,108208818,189168689,2981,2981,2981,2981,8,584
Parry Sound,3,1,1943,1943,1943,1943,6789431,10123229,189,189,214,214,1,88
Williams Harbour,1,1,1988,1988,1988,1988,4300722,2605946,18223,18223,18223,18223,14,1088
Salt Spring Island,2,2,1998,1998,2011,2011,48009934,66316038,2060,2060,3928,4009,14,1091
Michipicoten,1,1,1977,1977,1977,1977,2629383,4013903,109,109,109,109,0,20
L'Anse-Au-Loup,2,2,2004,2004,1998,2002,111777912,16358309,1220,1220,1662,1173,36,2735
Caraquet,1,1,1999,1999,1999,1999,327365,121092,835,835,835,835,1,106
Cleveland,1,1,2008,2008,2008,2008,14611528,20192290,1467,1467,1467,1467,4,302
Pointe-Fortune,1,1,2017,2017,2017,2017,208050033,401279372,2547,2547,2547,2547,10,777
Cobourg,1,1,1968,1968,1968,1968,41857,15322,86,86,86,86,0,6
Lakeshore,1,1,1968,1968,1968,1968,133254,48778,273,273,273,273,0,18
Cheticamp,1,1,2011,2011,2011,2011,856291,849368,51,51,51,51,0,17
Fraser Mills,4,2,1962,1966,1959,1959,291271,225179,338,274,339,351,1,94
Lauzon,1,1,2000,2000,2000,2000,5749,4420,2,2,2,2,1,62
Windsor,1,1,1958,1958,1958,1958,3729,7159,30,30,30,30,2,114
Port Au Port,1,1,1985,1985,1985,1985,68589452,102691857,2466,2466,2466,2466,5,415
