port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sainte-Catherine - Brockville,2,2,2009,2009,2009,2009,3509093,5201733,112,112,110,110,1,38
Brockville - Odessa,1,1,2010,2010,2010,2010,10679424,16500557,538,538,538,538,1,78
Odessa - Belleville,1,1,2010,2010,2010,2010,4672248,7218994,235,235,235,235,0,34
Belleville - Hamilton,1,1,2010,2010,2010,2010,20988890,32429499,1057,1057,1057,1057,2,169
Quebec - Cornwall,38,28,1996,1996,1995,1996,143115752,216828357,211,212,211,211,28,2113
Saint-Pierre - Souris Harbour,1,1,2010,2010,2010,2010,17471128,26994278,879,879,879,879,2,133
Souris Harbour - Summerside,7,4,1992,1996,1998,2004,12598081,13382371,133,188,220,203,6,442
Prince Rupert - Roberts Bank,25,20,2012,2012,2012,2012,2745314570,4360282753,642,1139,971,1077,210,15898
Sainte Victoir - Quebec,42,27,2007,2007,2011,2011,125077437,208864558,110,130,139,142,65,4827
Vancouver - Prince Rupert,91,68,2006,2007,2007,2008,4259259667,5088312164,638,671,651,659,463,34735
Montreal Est - Sillery,28,13,2006,2005,2008,2008,224656957,385305614,184,220,221,220,59,4463
Victoria - Roberts Bank,85,42,2007,2007,2009,2010,261932618,256055129,60,67,63,61,79,5965
Halifax - Bedford,3,2,2003,2006,2002,2000,1762545,560683,1879,1760,1700,1674,7,512
Becancour - Montreal,27,18,1998,2001,2000,2000,52754290,79804617,80,126,101,101,11,851
Montreal - Cornwall,288,155,2000,2001,2002,2002,389859697,599314548,72,82,77,77,56,4186
Cornwall - Dalhousie,65,56,2005,2005,2005,2004,263394833,411952539,235,239,243,243,40,3012
Dalhousie - Oshawa,23,13,1986,1993,1999,2000,20490729,31859491,54,78,87,89,6,459
Oshawa - Port Weller,112,33,1985,1994,1993,1993,73427721,112753228,52,79,75,76,22,1630
Port Weller - Kingsville,3,3,2001,2001,2008,2008,8942621,14446127,197,223,196,195,1,105
Port Colborne - Port Weller,347,129,1992,1996,1993,1993,187296442,279931814,19,28,32,31,30,2221
Port Weller - Cornwall,395,142,1999,2001,1999,1999,1692559271,2595266449,230,233,234,233,232,17381
Cornwall - Sainte-Catherine,170,87,1999,2001,1999,1999,184092932,277451408,62,65,62,62,28,2104
Sorel - Montreal,41,21,1987,2000,1990,1991,24445972,35571627,41,69,47,44,9,699
Cornwall - Longue Pointe,87,69,2006,2006,2006,2006,234362122,348847465,78,199,154,145,43,3219
Longue Pointe - Halifax,40,16,2005,2006,2005,2005,1240937893,1481267669,993,1006,1020,1018,196,14729
Sainte Victoir - Sainte-Catherine,26,20,2004,2004,2006,2006,16463041,24310459,46,54,50,50,16,1223
Port Weller - Fort William,15,9,1999,1992,2001,2001,257073907,406332850,771,775,774,774,32,2410
Port Weller - Cardinal,155,89,2001,2001,2002,2002,603913448,932099725,205,219,212,212,83,6248
Cardinal - Cornwall,15,14,1989,1989,1993,1993,5336699,7945680,25,30,27,27,1,74
Yarmouth - Lockeport,6,3,2002,2001,2001,2001,510520,681542,131,161,135,137,8,570
Montreal - Lower Lakes Terminal,19,16,2002,2007,2004,2004,31153660,48529588,104,108,107,107,5,382
Lockeport - Bayside,2,2,2002,2002,2002,2002,337224,398523,258,258,267,290,1,63
Bayside - Blacks Harbour,16,3,2002,2002,2002,2002,5168050,5464087,326,336,541,478,20,1504
Vancouver Anch - Vancouver,125,110,2010,2011,2011,2011,345984364,619932717,71,116,86,86,182,13658
Montreal - St Zotique,61,41,2002,2002,2007,2007,81098014,114547349,42,54,117,109,33,2486
St Zotique - Port Weller,47,33,1996,1998,1998,1999,141849457,208983139,268,270,269,268,30,2233
Port Alfred - Montreal,8,8,2006,2006,2009,2009,42390013,67335081,304,322,330,329,8,603
St Zotique - Matane,3,3,1996,1996,1996,1996,7825944,11761050,373,376,375,375,2,176
Matane - Kuujjuaq,2,2,2000,2000,2000,2000,26333101,37450060,1467,1467,1458,1467,9,645
Kuujjuaq - Three Rivers,1,1,1994,1994,1994,1994,42523055,64227531,5034,5034,5034,5034,13,972
Three Rivers - Montreal,66,50,1998,2001,2002,2004,92259842,126824766,72,94,83,85,24,1828
Montreal - Sept-Iles,7,7,1995,1995,1996,1996,32661366,47183688,446,442,442,442,10,729
Grise Fiord - Resolute Bay,3,3,2004,2004,2001,2000,21489873,31827908,426,751,690,699,6,470
Resolute Bay - Iqaluit,1,1,1994,1994,1994,1994,11197431,16912786,1325,1325,1325,1325,4,284
Iqaluit - St Zotique,2,2,1994,1994,1994,1994,29687046,44839810,1757,1757,1757,1757,10,770
St Zotique - Milne Inlet Port,1,1,1994,1994,1994,1994,20362345,30755625,2410,2410,2410,2410,6,480
Milne Inlet Port - Pangnirtung,3,3,2005,2005,2003,2002,16977350,23093717,896,1001,904,896,7,500
Pangnirtung - Havre St Pierre,3,3,2005,2005,1996,1995,12413425,17238173,1316,1312,1300,1299,7,529
Havre St Pierre - Pointe Noire,2,2,2004,2004,1995,1994,989093,1411528,108,108,108,108,1,63
Pointe Noire - Bald Rock,1,1,1994,1994,1994,1994,5161478,7795982,611,611,611,611,2,149
Canaport - Bald Rock,1,1,2005,2005,2005,2005,24158443,44346209,384,384,384,384,1,97
Bald Rock - Argentia,5,4,2007,2007,2005,2005,77012220,131361273,445,584,828,886,7,530
Beresford - Milne Inlet Port,1,1,2010,2010,2010,2010,107544150,202547466,2679,2679,2679,2679,9,718
St Johns - Argentia,23,14,1995,1995,2002,2002,117681907,118474350,225,1559,910,718,59,4399
Argentia - Port De St Pierre,2,2,1994,1994,1996,1998,784007,675883,107,107,109,111,1,55
Port De St Pierre - St Johns,14,11,1996,1995,2000,1996,68171652,30726261,229,1085,165,81,21,1552
St Johns - Bull Arm,7,5,1994,1994,1995,1996,7781383,8800956,124,285,335,369,7,539
St Johns - Hants Harbour,6,2,2004,2000,1989,1989,7955166,4057113,261,931,1365,1379,4,309
Lockeport - North Head,1,1,1988,1988,1988,1988,1366201,698295,568,568,568,568,0,32
North Head - Twillingate Harbor,1,1,1988,1988,1988,1988,1953971,998717,812,812,812,812,1,50
Twillingate Harbor - Sandy Beach,2,1,1988,1988,1988,1988,1526927,780446,317,317,317,317,1,60
Sandy Beach - Baie Comeau,5,2,2009,2001,2010,2004,4875646,948184,204,257,213,235,2,128
Baie Comeau - Rimouski,9,5,2004,1998,1996,1996,7046685,10239830,95,149,204,220,2,179
Rimouski - Matane,10,6,1993,1995,1988,1985,3002733,1247894,74,383,116,101,4,287
Matane - Port Cartier,2,2,1998,1998,2004,2006,1109950,1276426,95,95,92,91,1,39
Port Cartier - Port-Menier,1,1,1988,1988,1988,1988,666716,340773,277,277,277,277,0,15
Port-Menier - Atholville,1,1,1988,1988,1988,1988,1008285,515357,419,419,419,419,0,27
Atholville - Corner Brook,1,1,1988,1988,1988,1988,1054806,539134,439,439,439,439,0,27
Corner Brook - Daniels Harbour,1,1,1988,1988,1988,1988,1280569,654527,532,532,532,532,0,32
Daniels Harbour - Havre St Pierre,1,1,1988,1988,1988,1988,1496849,765072,622,622,622,622,0,36
Havre St Pierre - Cape Ray,1,1,1988,1988,1988,1988,1202698,614726,500,500,500,500,0,28
Cape Ray - Sandy Beach,3,3,1986,1986,2003,2006,8007919,9865459,538,597,535,538,2,170
Twillingate Harbor - L'Anse-A-Beaufils,1,1,1988,1988,1988,1988,317025,162039,132,132,132,132,0,8
