Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,269,37,11118,13810,2007,2007,2007,2007,928,1463,1654,1650,61,88,176,176,17,21,21,21,2257.0,174485,177835,11634960,41836486,45580975,43253,156883,183623
Cruise,220,44,3305,312,1999,1996,2007,2007,143,187,255,253,15,19,28,28,10,10,14,14,756.0,58457,59579,342354,4416906,5855954,1556,17699,22431
Ferry-RoPax,165,3,32,4,2006,1994,2006,2003,173,161,258,243,9,18,66,60,9,6,15,14,52.0,3901,3976,123218,266574,354425,747,1667,2376
Ro-Ro,160,3,453,271,1991,1998,2005,2003,177,1462,451,359,17,126,217,187,8,24,64,56,112.8,8648,8814,605725,3736059,1966578,3786,9149,12192
General cargo,131,42,947,1402,2005,2007,2007,2007,191,1089,988,984,22,117,214,210,18,55,70,68,190.8,14613,14894,855140,2826163,4080508,6528,32270,43431
Ferry-pax only,131,4,39,4,2008,1999,2007,2007,180,1837,453,517,10,282,654,751,9,25,34,38,47.5,3568,3636,301347,613721,773099,2300,5349,7052
Chemical tanker,115,10,276,447,2007,2006,2006,2006,255,366,337,337,23,42,119,115,29,27,33,34,135.9,10298,10495,541290,1545297,1838275,4707,14828,17481
Vehicle,63,23,811,266,2005,2005,2006,2006,119,320,341,358,15,29,83,91,7,17,20,22,62.4,4816,4908,269472,1188083,1375921,4277,16258,17497
Service - tug,45,5,1,1,1974,1975,1975,1975,96,108,104,106,17,16,25,26,14,61,51,53,5.1,383,390,22065,52177,69862,490,1266,1709
Refrigerated bulk,38,12,286,313,1995,1995,1995,1995,567,734,620,622,35,63,68,70,20,40,37,38,135.5,10323,10521,928502,2028822,2285277,24434,52069,56219
Oil tanker,33,7,543,970,2002,2005,2010,2011,305,987,1645,1788,39,128,250,255,31,51,173,181,81.6,6271,6392,439753,592756,591407,13326,41235,53563
Liquefied gas tanker,24,3,43,44,2010,2007,2011,2011,382,332,474,475,32,21,49,49,26,17,40,40,29.2,2230,2273,33074,95820,105816,1378,7545,9922
Bulk carrier,7,5,60,81,2012,2012,2012,2012,189,517,590,601,18,96,278,270,143,174,266,267,10.3,791,806,33119,91942,142895,4731,22290,28890
Service - other,3,3,23,12,2010,2010,2007,2007,856,1529,1360,1247,126,174,343,310,143,119,145,145,10.3,771,786,85314,175045,188622,28438,63279,71451
