Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,270,37,11926,14809,2007,2007,2007,2007,1094,1351,1766,1760,66,88,173,173,14,15,19,19,2343.0,181398,184880,12489918,45053566,49083686,46259,168248,196985
Cruise,222,44,2476,231,1999,1996,2007,2007,135,220,188,185,15,22,34,32,10,10,11,11,596.4,46133,47018,545128,3842967,4779304,2456,15233,17843
Ferry-RoPax,165,3,39,4,2006,1994,2005,2002,179,296,317,294,9,12,15,17,16,29,103,93,73.9,5547,5654,149092,322552,428850,904,2017,2875
Ro-Ro,159,3,160,121,1991,1998,1992,1992,170,150,160,161,18,17,23,24,10,9,18,19,69.9,5315,5417,424972,3245086,1538145,2673,6520,9265
General cargo,133,42,976,1394,2005,2007,2007,2007,131,1120,992,955,21,104,287,266,16,62,75,70,223.0,17116,17445,966912,3126749,4467808,7270,34883,46174
Ferry-pax only,132,4,35,4,2008,1999,2001,1997,202,4424,402,541,11,999,1153,1803,17,18,28,21,46.5,3491,3558,318251,648147,816465,2411,5607,7391
Chemical tanker,116,10,304,492,2007,2006,2006,2006,262,553,368,368,25,62,84,84,24,27,35,35,149.8,11364,11582,593949,1693849,2013035,5120,16111,18970
Vehicle,62,22,2434,716,2005,2005,2009,2008,145,608,1052,999,20,54,210,207,13,11,20,20,171.4,13257,13511,724987,3196414,3701773,11693,44446,47834
Service - tug,45,5,1,1,1974,1975,1975,1975,89,87,94,95,20,20,48,52,28,23,32,31,4.1,307,313,19693,46568,62352,438,1130,1526
Refrigerated bulk,38,12,225,243,1995,1995,1995,1995,122,585,489,482,16,40,184,183,5,5,5,5,91.3,6969,7103,719610,1572383,1771142,18937,40355,43571
Oil tanker,33,7,316,554,2002,2005,2009,2010,295,654,956,1021,28,68,129,130,19,21,10,8,48.4,3702,3773,318256,404034,397715,9644,30696,40155
Liquefied gas tanker,24,3,33,33,2010,2007,2010,2010,234,344,359,358,20,33,69,69,8,20,15,15,20.3,1550,1580,24943,72265,79804,1039,5690,7483
Bulk carrier,7,5,209,264,2012,2012,2012,2012,3626,2274,2067,1967,298,211,347,346,73,62,54,54,38.0,2933,2989,108345,300773,467461,15478,72919,94508
Service - other,3,3,48,23,2010,2010,2011,2011,3147,2380,2885,2377,309,369,441,420,46,61,55,54,20.3,1524,1553,162641,333704,359586,54214,120635,136213
