Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Martinique,341,84,639,633,2000,2002,2005,2006,118,188,132,133,12,22,24,15,15,35,31,36,234.3,17909,18253,788890,3108724,2951708,2313,7554,9311
Saint Lucia,265,29,408,68,2009,2000,2009,2008,167,160,156,166,10,17,19,21,11,12,10,12,132.0,10094,10288,281520,977750,1233824,1062,3727,4701
Saint Barthélemy,126,11,140,104,1991,1991,1993,1994,187,191,195,197,20,25,25,26,5,11,8,7,56.5,4316,4399,351398,2464099,1287780,2789,7221,10189
Dominica,75,35,136,34,1996,1997,2008,2006,91,589,106,97,13,59,148,74,8,20,16,18,42.0,3197,3258,174068,466575,581989,2321,6561,8243
Antigua and Barbuda,66,30,551,58,2004,2003,2007,2007,129,131,140,138,14,15,14,14,10,15,12,17,134.8,10429,10630,131273,882103,1074992,1989,11801,13564
Sint Maarten (Dutch part),56,16,150,81,2001,2002,2007,2004,189,200,202,192,20,19,18,17,12,9,9,12,35.0,2689,2741,134005,566942,671699,2393,9397,12606
France,52,14,5197,6228,2005,2006,2005,2005,3671,3639,3668,3661,195,216,203,199,26,31,30,28,1132.6,87501,89181,5284291,18728527,20392498,101621,363501,423875
Spain,48,10,4520,5624,2008,2007,2009,2009,3213,3258,3233,3234,184,196,184,185,13,19,15,15,790.7,61244,62420,4687260,16631266,18102098,97651,349512,408163
Jamaica,45,8,459,621,2006,2006,2006,2006,939,1149,989,983,65,86,73,72,20,48,30,29,122.9,9441,9622,590038,2208179,2580977,13112,54732,67171
Trinidad and Tobago,37,16,499,159,2006,2005,2005,2006,380,405,378,397,33,35,32,33,21,42,17,44,100.3,7721,7869,122132,765835,996993,3301,21618,27780
Colombia,29,18,756,822,2009,2007,2009,2009,934,915,927,922,62,82,73,78,12,25,21,27,113.3,8751,8919,574272,2069769,2434714,19802,80027,97534
Saint Kitts and Nevis,29,17,130,14,1995,1993,2004,2003,134,136,160,155,14,15,15,15,9,12,9,10,31.6,2437,2484,29552,242471,335963,1019,7318,9379
Puerto Rico,28,6,71,113,2005,2004,2005,2005,371,401,444,448,37,44,43,43,18,32,34,35,22.9,1735,1768,153847,442102,561851,5495,17889,22584
Virgin Islands (U.S.),28,6,93,110,2006,2008,2008,2005,284,323,313,330,30,47,45,56,28,31,27,35,41.3,3127,3187,146685,414625,476557,5239,16472,18956
