int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,784,559,2009,2009,2010,2010,32859584089,54119161649,1368,2058,2118,2139,5643,434578
Bulk carrier,2786,1869,2010,2010,2011,2011,305251118279,552247661589,2249,2733,2917,2944,24567,1899589
General cargo,760,497,2007,2007,2007,2007,17189717638,24646599374,1452,1982,2358,2354,2956,226918
Liquefied gas tanker,371,223,2010,2010,2010,2010,83161803819,73039831489,1882,2746,3823,3723,9228,666979
Oil tanker,838,552,2009,2009,2010,2010,138547429001,259181281971,1447,2603,3232,3299,12920,996188
Service - tug,31,25,2006,2005,2006,2005,86748144,74811899,1123,1353,1474,1484,74,5606
Container,166,116,2004,2005,2007,2007,4974742554,6093673710,518,1263,1284,1291,773,59616
Refrigerated bulk,87,58,1995,1994,1996,1995,1872455843,2033040936,1709,2015,2362,2332,928,70588
Cruise,219,74,1998,1997,2004,2003,8815264665,863797002,324,445,568,561,1956,151053
Ro-Ro,28,19,2002,2003,2006,2005,1267003465,686591875,1189,1710,2028,1997,187,14374
Service - other,19,19,2004,2004,2008,2009,324559378,386170959,2036,2091,1756,2032,127,9568
Ferry-RoPax,26,10,1996,1999,2002,2002,239009102,56928444,328,870,653,577,64,4896
Miscellaneous - fishing,5,5,2006,2006,2017,2017,26624844,12195354,1726,2823,3249,3735,12,884
Offshore,28,23,2007,2007,2009,2009,1087741694,1568546677,1434,1691,2887,4539,165,12533
Yacht,1,1,2010,2010,2010,2010,387376,46860,781,781,781,781,0,29
Other liquids tankers,2,2,2015,2015,2016,2016,114608766,161931046,2065,2065,2052,2065,13,1039
Vehicle,11,9,1999,1999,1996,1996,1073142273,604150605,1228,1674,2300,2917,76,5876
Ferry-pax only,1,1,2012,2012,2012,2012,213457,62750,536,536,536,536,3,200
