int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,2786,1869,2010,2010,2011,2011,261315430261,469174677369,1977,2484,2497,2502,20299,1569705
Chemical tanker,784,559,2009,2009,2010,2010,32348426037,53223431160,1087,1989,2085,2104,4809,371272
General cargo,760,497,2007,2007,2008,2008,12662863718,18082856463,1291,1557,1737,1727,2108,161900
Service - other,19,19,2004,2004,2008,2008,473140592,408686836,1879,2745,2560,2151,167,12707
Liquefied gas tanker,371,223,2010,2010,2010,2010,53088813809,47728808077,1413,2182,2440,2433,5861,416892
Oil tanker,838,552,2009,2009,2010,2010,86330660645,156855444478,1257,2095,2014,1996,8504,656398
Container,166,116,2004,2005,2007,2007,4913182157,5922367413,503,1051,1268,1254,697,53827
Service - tug,31,25,2006,2005,2004,2005,81473219,72273893,1037,1553,1384,1434,88,6618
Refrigerated bulk,87,58,1995,1994,1994,1994,1691511589,1861576366,1861,2156,2134,2136,771,58780
Cruise,219,74,1998,1997,2003,2002,8514036102,812323021,337,458,549,528,1748,135164
Ro-Ro,28,19,2002,2003,2005,2004,902158457,473469291,1104,1348,1444,1377,196,15052
Ferry-RoPax,26,10,1996,1999,1997,1997,1003872905,276809227,1946,1251,2741,2807,254,19367
Miscellaneous - fishing,5,5,2006,2006,2005,2006,45710361,14050864,1701,11974,5579,4304,33,2486
Offshore,28,23,2007,2007,2009,2009,773039482,688083136,1100,1433,2052,1991,160,12165
Yacht,1,1,2010,2010,2010,2010,982097,118802,1980,1980,1980,1980,1,87
Other liquids tankers,2,2,2015,2015,2015,2015,100809529,141602290,1806,1806,1805,1806,8,645
Vehicle,11,9,1999,1999,1998,1997,1134373483,548090286,1312,2267,2431,2647,86,6611
Ferry-pax only,1,1,2012,2012,2012,2012,289868,85212,728,728,728,728,0,9
