int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,121,69,1999,2001,2006,2006,8028554833,14830011072,1330,1551,2104,2144,1000,76881
Bulk carrier,262,147,2001,2002,2004,2004,10242467475,17469579769,1148,1612,1841,1850,1192,91974
General cargo,192,79,1990,1993,1999,1998,1556902481,2184280128,1147,1838,1426,1391,473,36043
Container,177,22,2002,2002,2000,2000,2247184806,2962965375,740,574,606,612,859,65621
Chemical tanker,167,66,2002,2003,2006,2006,2692953943,4325987490,1111,1349,1254,1258,1157,88349
Ro-Ro,31,15,2003,1998,1988,1989,1422423264,941494547,1131,8611,5991,6260,336,25564
Yacht,7,1,1964,1964,1964,1964,1521731,2609572,314,314,297,297,1,111
Service - tug,68,13,2010,2007,2011,2011,125496122,119110580,195,4528,1217,1447,157,11770
Ferry-RoPax,1,1,1987,1987,1987,1987,58241449,10802596,4494,4494,4494,4494,12,898
Miscellaneous - other,4,1,1972,1972,1972,1972,73648726,122763433,934,934,897,897,25,1933
Vehicle,7,3,2000,1993,2005,2003,280638811,87208391,1268,1172,1026,1017,40,3087
Liquefied gas tanker,7,3,2004,2004,2004,2004,41896477,44196699,1213,843,962,979,32,2425
Ferry-pax only,15,1,1981,1981,1981,1981,428432,113945,151,151,152,152,6,467
Service - other,2,2,1990,1990,2014,2014,4317760,2595814,381,381,490,493,3,200
