int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,262,147,2001,2002,2003,2003,8317310598,14174623423,1248,1606,1495,1501,788,60839
Container,177,22,2002,2002,2001,2001,2422816732,3173142815,717,684,653,656,478,36685
General cargo,192,79,1990,1993,1996,1996,1375630926,1968364696,1244,1344,1260,1254,367,27920
Oil tanker,121,69,1999,2001,2005,2005,8775640873,16130558635,1543,1851,2300,2332,951,73146
Chemical tanker,167,66,2002,2003,2005,2004,3735239661,5972975280,1541,1820,1739,1737,997,76265
Ro-Ro,31,15,2003,1998,1994,1993,558934679,367007202,1190,1941,2354,2440,191,14539
Yacht,7,1,1964,1964,1964,1964,1261894,2163985,216,216,246,246,1,81
Service - tug,68,13,2010,2007,2010,2010,60186978,53481113,223,2169,584,650,85,6396
Ferry-RoPax,1,1,1987,1987,1987,1987,10569339,1960396,815,815,815,815,32,2403
Miscellaneous - other,4,1,1972,1972,1972,1972,75117028,125210913,809,809,915,915,15,1132
Vehicle,7,3,2000,1993,2006,2004,790380063,235411487,1872,2424,2889,2746,49,3796
Liquefied gas tanker,7,3,2004,2004,2004,2003,55421244,57667702,1444,1257,1272,1278,39,2931
Ferry-pax only,15,1,1981,1981,1981,1981,449393,119519,156,156,159,159,2,143
Service - other,2,2,1990,1990,2014,2014,7806290,4693432,686,686,887,892,9,646
