Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,521,117,37231,45412,2003,2004,2005,2005,2490,2377,2285,2269,177,184,230,230,50,54,57,56,5703.3,441392,449866,37006725,111517098,123990443,71030,227920,265642
Bulk carrier,252,232,24692,42899,2010,2010,2010,2010,2942,3314,3321,3327,308,335,420,421,124,137,139,140,2244.5,173775,177112,16528996,35916361,45275730,65591,229940,273387
Vehicle,156,106,17296,5779,2008,2008,2009,2009,2567,1916,1931,1940,151,126,211,212,19,22,27,27,1171.5,90745,92487,5852096,25801470,29880732,37513,142589,153457
General cargo,111,78,4166,5580,2006,2007,2007,2007,2549,2670,2859,2828,242,286,369,362,59,108,96,97,629.6,48438,49368,2933640,9956642,14436349,26429,138476,186258
Oil tanker,87,69,13323,23232,2009,2009,2012,2012,3082,3240,3287,3282,282,328,375,375,87,106,97,97,1349.2,104456,106461,14776515,28265651,33652550,169845,417188,518476
Chemical tanker,83,56,6620,10807,2006,2007,2007,2007,2916,2822,3049,3046,282,276,366,368,93,86,110,110,962.6,74537,75969,2265500,15625176,18035380,27295,221438,271761
Ro-Ro,56,9,2521,2216,2002,2004,2011,2011,421,1889,1334,1310,95,169,173,162,50,104,52,53,345.3,26667,27179,2421192,4818348,5292425,43236,101717,108940
Liquefied gas tanker,26,8,844,958,2013,2011,2015,2014,1633,2708,2329,2343,162,394,309,318,62,126,88,85,208.7,15940,16246,722958,2094528,2313029,27806,152237,200196
Service - tug,10,6,17,13,2001,2001,2007,2007,808,2492,2731,2532,239,360,400,383,165,601,376,381,31.2,2339,2384,327536,774523,1037045,32754,84576,114191
Service - other,5,5,19,10,1996,1996,1984,1984,657,1237,2255,2356,190,317,251,254,151,243,126,119,9.5,714,728,67680,138865,149635,13536,30120,34010
Cruise,4,3,45,4,2002,2002,2001,2001,160,290,348,352,16,23,47,48,10,18,13,13,16.3,1263,1287,11490,95106,126831,2873,19839,23586
Miscellaneous - fishing,3,3,3,2,1983,1983,1982,1981,1885,1859,2279,1898,251,264,396,372,27,73,93,104,3.8,284,289,10750,23846,27111,3583,8433,9997
Ferry-RoPax,2,2,0,0,2014,2014,2014,2014,130,130,131,131,26,26,24,25,594,594,607,600,5.2,394,402,6712,14520,19306,3356,7492,10677
