Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,522,116,21666,26142,2003,2004,2004,2004,386,1158,1326,1302,68,102,198,198,32,63,27,27,3290.9,254590,259478,21152472,63018123,69912192,40522,128353,149131
Bulk carrier,265,242,15868,27637,2010,2010,2010,2010,1752,2016,2020,2028,154,242,441,441,66,91,80,80,1310.7,101473,103421,10475225,22796515,28531969,39529,138519,164465
Vehicle,156,106,15460,5144,2008,2008,2006,2006,302,1807,1726,1727,46,122,270,273,15,23,21,21,988.4,76562,78032,5209462,22968141,26599448,33394,126931,136605
General cargo,110,76,2591,3437,2006,2007,2006,2006,697,1852,1802,1763,113,198,358,349,78,100,81,87,417.8,32069,32684,1849608,6251703,9070860,16815,87003,117416
Oil tanker,86,69,12505,21839,2009,2009,2012,2012,2692,2986,3163,3161,316,389,469,471,46,78,79,80,1220.9,94554,96370,13728746,26667806,31476212,159637,394636,489722
Chemical tanker,84,59,5561,9108,2006,2007,2005,2005,2766,2295,2540,2549,303,270,379,382,62,84,74,73,822.5,63672,64894,2003512,13354858,15424473,23851,186722,228917
Ro-Ro,55,9,2895,2607,2002,2004,2011,2012,395,1076,1618,1629,73,104,250,252,29,41,26,26,341.8,26410,26917,2844708,5621443,6208090,51722,121672,130202
Liquefied gas tanker,25,8,668,759,2013,2011,2015,2015,1261,1623,2003,2010,178,209,220,217,44,78,55,55,147.7,11269,11485,572632,1659008,1832077,22905,125406,164911
Service - tug,8,5,6,5,2004,2001,2006,2006,763,1391,1112,1038,280,555,562,571,61,253,693,705,12.1,910,927,119233,281951,377517,14904,38485,51962
Service - other,4,4,14,8,1992,1992,1985,1986,1341,2466,1760,1954,167,312,292,362,71,240,214,290,10.4,780,795,57950,118901,128123,14488,32237,36400
Cruise,4,3,103,10,2002,2002,2003,2003,981,846,791,788,60,53,59,59,9,10,10,10,30.3,2349,2394,25768,213285,284431,6442,44491,52893
Ferry-RoPax,2,2,1,0,2014,2014,2014,2013,239,239,232,235,50,50,49,51,118,118,124,112,1.6,120,123,12096,26169,34793,6048,13502,19242
Miscellaneous - fishing,2,2,2,1,1981,1981,1974,1975,1422,1422,1930,1695,87,87,60,63,1815,1815,3379,3204,7.5,560,570,6974,15471,17589,3487,8207,9729
