dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,3,3,1988,1988,1985,1986,2839453,3638438,226,243,237,232,49,3675
Miscellaneous - fishing,24,17,2004,2004,2007,2006,1145331568,883607744,15749,18969,18545,17701,524,39454
Service - other,1,1,2014,2014,2014,2014,1650276,220037,12224,12224,12224,12224,12,886
Oil tanker,1,1,2009,2009,2009,2009,199973,231166,129,129,129,129,5,372
