int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,62,30,1991,1992,1992,1992,748828887,853182838,2134,2730,2462,2423,774,58457
Cruise,44,21,1997,1999,2000,1999,2292256159,259730303,995,1399,1171,1166,606,46851
Miscellaneous - fishing,63,42,2005,2005,2006,2006,1871253021,1562760594,12073,13656,14329,14651,985,74050
Bulk carrier,11,5,2010,2009,2010,2010,318134977,551357555,1620,1494,2057,2074,52,4035
Container,120,26,2004,2003,2004,2004,4076871392,5181289946,1181,1459,1369,1359,669,51715
Ro-Ro,2,1,2017,2017,2017,2017,800038,725841,806,806,806,806,2,130
General cargo,7,7,2011,2011,2011,2011,343206027,383274397,2924,2905,2881,2736,56,4323
Service - tug,4,4,2000,2000,2003,1999,5788971,6505953,1952,1931,1865,1805,7,539
Other liquids tankers,1,1,2009,2009,2009,2009,38404305,43440894,1242,1242,1242,1242,7,547
Chemical tanker,14,5,2012,2009,2013,2013,652493902,1084623746,1809,2253,1627,1625,79,6118
Liquefied gas tanker,2,2,2009,2009,2009,2009,8886165,10167402,990,990,990,991,4,319
Service - other,2,2,2006,2006,1997,1997,9827182,4076476,2040,2040,2964,3020,12,868
Offshore,2,2,1980,1980,1980,1981,1008865,715134,1058,1058,456,354,23,1747
Oil tanker,7,3,2010,2010,2009,2009,100316865,168951301,1304,1774,2543,2671,29,2197
