Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,227,62,3638,367,1993,1998,2007,2005,147,266,264,269,15,24,29,29,9,10,10,10,796.8,61492,62673,1187516,6453732,7491431,5231,25181,27606
General cargo,115,24,258,307,1990,1992,2002,2002,368,446,371,374,24,52,70,74,18,48,18,18,105.7,8123,8279,232607,743759,1069345,2023,9245,12490
Container,110,17,394,479,2007,2008,2008,2008,97,299,272,276,10,25,68,68,6,9,16,16,93.0,7136,7273,483108,1783804,2033403,4392,17406,21091
Chemical tanker,53,9,73,115,2008,2008,2007,2007,160,237,232,232,15,32,92,93,26,44,35,35,44.6,3374,3439,157176,485084,606372,2966,10196,12859
Liquefied gas tanker,41,2,43,44,2009,2008,2008,2008,181,189,251,252,16,15,28,28,21,22,24,24,26.5,2013,2052,33370,96678,106763,814,4456,5860
Oil tanker,34,7,42,66,1999,2000,2001,2001,152,374,272,265,20,42,38,37,23,40,40,39,23.7,1802,1836,117731,133198,129338,3463,11490,15166
Ferry-RoPax,29,3,6,2,1965,1966,1965,1965,148,418,417,423,43,49,73,73,10,36,45,45,10.5,787,802,54582,118084,156999,1882,4202,5988
Refrigerated bulk,25,7,53,58,2003,2001,1999,2000,88,287,157,155,9,19,26,26,6,11,15,15,26.8,2041,2080,172489,376896,424538,6900,14703,15875
Vehicle,23,2,170,59,2003,2003,2002,2001,608,397,499,540,60,42,76,79,7,6,19,19,26.5,2028,2067,59243,261198,302494,2576,9791,10537
Bulk carrier,10,7,512,783,2009,2008,2014,2014,2180,2560,3147,3270,236,259,371,381,46,69,24,20,67.3,5198,5297,255765,719788,1038770,25577,119360,152475
Service - tug,5,4,1,1,2001,1997,2017,2018,127,104,117,118,33,26,41,41,21,23,14,14,0.2,17,17,14468,34212,45808,2894,7472,10088
Service - other,3,3,31,16,2009,2009,2014,2014,1102,19076,6576,5114,116,954,2302,2193,32,108,239,228,96.2,7222,7360,110103,225908,243429,36701,81666,92213
Ferry-pax only,2,2,3,0,2000,2000,2000,1999,6945,6945,5324,5662,2424,2424,3051,3086,346,346,552,564,10.6,794,809,22669,46167,58156,11334,26357,34748
