Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,615,104,961,552,1988,1989,1991,1992,171,1722,1237,1302,41,371,1270,1290,14,46,96,99,432.9,32674,33302,3881209,8609270,9787868,6311,14852,17607
Cruise,192,25,919,153,1988,1991,1993,1989,590,594,632,634,62,64,107,108,4,7,8,8,438.5,33289,33928,803774,3649641,6340045,4186,18516,29592
General cargo,184,17,128,165,1990,1991,2000,1999,130,440,623,626,16,53,136,135,16,49,194,210,44.3,3361,3426,183607,562444,814735,998,3930,5542
Refrigerated bulk,78,39,434,443,1989,1989,1988,1988,742,1185,1080,1084,80,197,274,277,16,32,52,52,300.7,22778,23215,1312761,2868446,3231034,16830,35865,38724
Service - other,75,21,529,263,1996,1997,1996,1997,627,2057,1241,1228,69,338,634,689,10,29,52,53,257.4,19539,19914,1832549,3759989,4051615,24434,54370,61391
Ferry-pax only,73,6,119,25,1991,1994,1988,1987,241,503,377,413,23,58,84,83,3,29,10,12,47.1,3561,3629,691144,1937786,2509243,9468,26340,34853
Chemical tanker,23,3,7,11,1989,1989,1991,1991,172,210,307,297,54,53,102,102,20,18,20,20,14.8,1120,1141,39214,98551,121484,1705,5016,6150
Oil tanker,22,13,92,133,1990,1989,1994,1995,765,1513,1578,1562,97,219,405,383,20,19,9,9,34.0,2590,2640,320258,230707,237596,14557,43825,57101
Bulk carrier,21,2,55,93,1994,2002,2007,2008,767,896,931,979,84,99,110,112,66,36,17,8,14.0,1059,1080,36047,93225,109164,1717,6448,7950
Ferry-RoPax,20,2,118,9,2005,2005,2004,2004,154,296,411,400,17,34,78,77,7,8,7,7,24.3,1859,1894,54834,135601,166383,2742,5852,5330
Ro-Ro,17,2,7,8,2004,2001,1995,1995,106,333,326,311,27,85,138,137,8,16,19,19,10.5,794,809,28138,216935,102369,1655,4039,5758
Service - tug,11,4,8,9,1983,1988,1981,1977,329,359,455,583,96,146,275,323,34,33,54,68,10.0,755,770,224773,531520,711676,20434,52764,71240
Container,1,1,509,508,2014,2014,2014,2014,3578,3578,3578,3578,176,176,176,176,1,1,1,1,42.5,3273,3336,186362,422414,562175,186362,712949,891278
