Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,504,54,235,131,1988,1989,1990,1992,126,512,242,322,39,106,236,252,10,19,90,85,154.3,11604,11827,918193,2036730,2315556,1822,4288,5083
Cruise,119,20,230,43,1989,1989,1992,1988,277,283,311,309,39,38,53,53,3,4,7,7,136.4,10309,10507,244617,1040267,1901459,2056,8746,14636
Service - other,57,14,267,146,1996,1997,1993,1995,332,457,653,659,54,99,196,201,8,21,23,24,80.0,6106,6223,1017604,2087901,2249839,17853,39725,44855
Ferry-pax only,41,5,23,2,1993,1997,1992,1991,228,122,248,232,37,26,52,51,8,12,9,8,14.1,1060,1080,56028,156858,203094,1367,3798,5026
Refrigerated bulk,25,10,16,16,1991,1990,1987,1986,55,328,166,172,29,75,210,229,8,9,15,14,25.1,1891,1927,47152,103029,116052,1886,4019,4340
Ro-Ro,21,1,1,1,2010,2010,2010,2010,44,44,51,51,26,26,75,75,5,5,8,8,12.5,936,954,5013,38645,18236,239,583,830
Service - tug,10,2,5,4,1983,1981,1985,1981,278,266,258,281,29,48,53,67,16,18,40,29,3.7,281,286,101684,240453,321954,10168,26257,35451
Ferry-RoPax,9,2,34,3,2006,2005,2005,2005,280,298,284,281,43,40,43,43,12,18,19,18,10.5,801,816,16528,40873,50151,1836,3920,3570
Chemical tanker,8,2,0,0,1986,1988,1988,1988,12,14,14,14,10,9,12,13,36,28,27,28,2.5,189,193,696,1748,2155,87,256,314
General cargo,7,2,0,0,1987,1990,1988,1988,30,88,105,101,29,30,125,137,39,30,40,43,0.5,35,35,1293,3708,5329,185,602,866
Bulk carrier,1,1,0,0,1993,1993,1993,1993,78,78,78,78,30,30,30,30,51,51,51,51,0.2,14,14,107,244,294,107,324,405
