Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Shakotan,984,170,1813,1542,1989,1990,1998,2000,171,1285,1075,1195,33,261,725,572,14,27,40,34,734.6,55584,56652,4994718,10957453,12571166,5076,12535,15050
Vernadsky,82,27,334,68,1990,1991,1994,1989,710,597,613,620,71,72,82,85,7,17,10,11,163.9,12378,12616,499097,1832380,2962981,6087,22173,33740
Port Foster,82,36,335,85,1994,1993,1997,1997,433,695,518,681,49,110,175,250,3,7,6,8,150.0,11393,11611,464368,1432063,1987405,5663,17264,22747
Palmer,47,20,160,29,1992,1990,1995,1994,371,468,467,455,43,50,53,55,19,17,35,46,77.3,5882,5995,154626,584715,863538,3290,12118,16789
Escudero,38,19,231,68,1991,1993,1997,2001,629,794,905,1080,63,105,232,353,5,12,17,26,95.1,7282,7422,436773,1193556,1543240,11494,31865,39871
Signy,23,12,309,230,1988,1991,1988,1988,1807,2084,1694,1626,166,388,464,426,19,43,80,81,119.6,9073,9247,1031442,2330834,2749662,44845,104100,122707
Orcadas,14,7,138,28,1981,1983,1982,1981,1684,1539,1468,1317,204,186,206,189,4,7,7,10,57.7,4360,4444,134940,561994,1069359,9639,41230,71113
Marambio,10,6,39,14,1984,1987,1983,1983,189,506,472,476,34,61,79,82,10,12,20,20,16.7,1280,1304,283574,779012,1003424,28357,77814,102197
Jubany,10,6,46,17,1981,1982,1983,1980,541,626,762,800,56,96,157,182,4,6,6,7,21.7,1637,1669,207791,389447,454117,20779,43434,53148
Rothera,9,8,26,10,1993,1992,1995,1994,204,672,455,633,24,128,382,515,14,17,36,48,13.7,1047,1067,85146,201335,244512,9461,23340,28727
Arctowski,8,7,33,5,1999,2000,2000,2001,670,567,647,397,53,65,92,89,3,5,4,4,16.0,1216,1239,49600,133793,184353,6200,17003,22776
Port-Aux-Francais,7,5,71,36,1998,1996,1998,1998,7941,6966,4436,4368,370,1183,574,570,175,385,393,395,45.9,3470,3536,253997,546393,608740,36285,83521,97179
Comandante Ferraz,6,4,113,92,1998,1995,2000,1997,1152,1288,1285,1168,152,146,151,142,24,96,165,291,38.4,2912,2968,93420,322338,419461,15570,63928,80238
Mcmurdo,3,3,41,42,1990,1990,2008,2011,2299,1584,1339,1681,190,155,194,191,31,66,142,152,12.2,933,950,99989,162278,190842,33330,74472,95193
Jang Bogo Station,3,1,55,21,2009,2009,2009,2009,2440,2440,2460,2460,201,201,226,226,35,35,55,55,32.1,2408,2455,149407,306551,330327,49802,110819,125130
King Sejong,3,3,59,33,1991,1991,1990,1989,3163,4304,4170,4543,477,740,1642,1532,86,67,21,29,36.4,2737,2789,315794,684668,810321,105265,248199,302582
Casey Station,2,2,61,36,2002,2002,1990,1990,4725,4725,7664,7899,907,907,1767,1768,58,58,110,110,29.8,2302,2346,254164,521625,562190,127082,282831,319411
Davis Station,1,1,21,12,1990,1990,1990,1990,3145,3145,3145,3145,265,265,265,265,74,74,74,74,9.8,758,772,85825,176094,189752,85825,190975,215638
