Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Russian Federation,838,149,796,558,1989,1989,1991,1992,172,810,628,647,32,173,573,461,15,26,37,34,471.4,35621,36305,2799492,6072749,6929348,3341,8221,9974
Argentina,152,40,752,160,1989,1992,1990,1987,631,662,697,683,66,81,110,115,6,14,9,11,328.2,24928,25407,1314984,4375014,6624808,8651,28703,41491
Chile,108,40,442,176,1993,1993,1998,1996,370,661,507,736,52,141,132,168,7,30,54,166,191.7,14516,14795,659917,1883954,2569212,6110,18272,23897
Japan,104,24,47,26,1984,1990,1992,1994,92,241,509,472,32,60,201,191,11,20,14,16,27.3,2049,2089,183209,406789,465130,1762,4160,4956
"Korea, Republic of",28,26,464,429,1992,1992,1994,1996,1116,4020,2706,2054,174,759,1516,1135,2,41,92,75,173.7,13197,13451,1815715,3992599,4532555,64847,152621,178918
Uruguay,15,11,161,128,1990,1990,1986,1986,1696,1359,1714,1738,145,176,214,204,18,68,78,79,72.6,5508,5614,514140,1168047,1389350,34276,78996,92722
Falkland Islands (Malvinas),15,10,132,79,1989,1988,1990,1990,932,1781,1254,1203,138,313,378,331,12,25,32,40,71.0,5416,5520,369955,847104,1063022,24664,58483,72068
Peru,13,9,24,6,1985,1985,1984,1982,210,231,253,252,29,28,38,36,6,8,8,8,9.1,688,701,42689,132185,212584,3284,10499,15848
South Georgia and the South Sandwich Islands,13,11,156,55,1992,1992,1995,1996,1144,1655,1469,2353,114,352,625,1133,4,37,66,108,56.3,4267,4349,327776,946639,1238978,25214,73399,94031
Spain,9,5,9,3,1991,1994,1991,1991,292,300,334,345,22,35,79,81,6,16,29,30,5.1,387,395,16893,42389,58990,1877,5025,6782
China,8,7,31,35,2000,2000,1993,1992,942,1238,1016,1291,84,149,199,211,10,19,36,35,18.2,1380,1406,113165,247571,275535,14146,30321,32968
New Zealand,7,4,127,76,2001,1995,2009,2010,2386,1814,2091,2051,201,176,245,225,31,57,71,102,61.3,4620,4709,331207,636688,702048,47315,105417,123789
Réunion,5,3,66,33,2000,1999,1999,1999,7941,6952,4545,4488,317,437,483,467,201,569,416,422,35.6,2697,2749,232851,499486,555412,46570,106976,124251
Maldives,3,1,0,0,2010,2010,2010,2010,34,34,42,42,19,19,19,19,8,8,9,9,0.9,66,68,595,4586,2164,198,484,690
Iran (Islamic Republic of),3,1,0,0,2010,2010,2010,2010,72,72,82,82,21,21,43,43,6,6,6,6,1.3,99,101,1159,8938,4218,386,943,1344
"Taiwan, Province of China",2,2,22,15,1988,1988,1988,1988,11244,11244,11285,11462,3361,3361,3346,3323,8,8,8,9,20.2,1513,1542,103171,228854,260184,51586,121404,143918
United States of America,2,2,564,536,2002,2002,2012,2013,6614,6614,3813,3700,948,948,327,257,9,9,3,2,73.6,5609,5717,382809,825481,996503,191405,575038,692429
Australia,2,1,82,49,1990,1990,1990,1990,6214,6214,6214,6214,1020,1020,1392,1392,92,92,101,101,39.6,3054,3113,339171,695905,749880,169586,377357,426089
Mauritius,2,2,5,3,1992,1992,1992,1992,6987,6987,3397,3375,2302,2302,1740,1718,109,109,90,89,10.3,772,787,21146,46907,53328,10573,24883,29498
South Africa,1,1,6,3,1974,1974,1974,1974,4230,4230,4230,4230,511,511,511,511,4,4,4,4,2.9,220,224,23738,52655,59863,23738,55866,66225
Indonesia,1,1,0,0,2014,2014,2014,2014,166,166,166,166,40,40,40,40,7,7,7,7,0.1,6,6,817,1813,2062,817,1924,2281
Pakistan,1,1,0,0,1985,1985,1985,1985,15,15,15,15,58,58,58,58,36,36,36,36,0.5,39,39,69,175,215,69,204,251
