int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,41,26,1999,2001,1999,2000,422328329,354026493,703,2301,1450,1620,194,14708
Container,154,32,2006,2007,2008,2008,1092226869,1342788855,344,740,480,484,349,26714
Cruise,293,62,2000,2003,2004,2003,9200136295,841234348,389,351,345,320,1840,142271
Vehicle,44,26,2007,2007,2007,2006,244721710,78535089,84,128,128,125,23,1754
Service - tug,76,33,2009,2008,2013,2012,58508526,44407264,205,835,1032,1115,78,5910
General cargo,292,55,1997,2001,2006,2006,1324015056,1695798156,90,1197,1299,1245,332,25411
Chemical tanker,127,70,2007,2008,2005,2005,2547061538,4219766643,497,1415,1066,1070,645,49403
Oil tanker,232,113,2006,2006,2005,2005,14784846394,27450560647,318,1393,1487,1502,1862,143772
Refrigerated bulk,37,11,1994,1995,1995,1995,481455324,517869776,527,1739,1038,1026,207,15798
Liquefied gas tanker,39,23,2005,2004,2000,2000,3135789802,2650411210,437,1926,4452,3278,567,35378
Ro-Ro,2,2,1977,1977,1977,1978,743923,1388052,261,261,265,268,1,60
Offshore,26,13,1988,1994,1999,1998,216416729,361881855,417,1226,1357,1693,68,5081
Bulk carrier,54,25,2001,2006,2008,2008,611125740,993046351,382,651,671,657,78,5998
Ferry-pax only,1,1,2000,2000,2000,2000,357602,54407,495,495,495,495,0,16
Miscellaneous - fishing,2,1,1980,1980,1980,1980,641826,382052,825,825,825,825,15,1091
