int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,154,32,2006,2007,2008,2008,872941873,1076349680,166,473,384,388,215,16456
Cruise,293,62,2000,2003,2004,2003,7198222996,726025464,101,339,270,276,1684,130167
Vehicle,44,26,2007,2007,2005,2005,1879890037,605658522,463,694,981,964,130,10099
Service - tug,76,33,2009,2008,2011,2011,69673785,59373150,219,1330,1230,1491,78,5860
General cargo,292,55,1997,2001,2007,2006,725035693,917730072,118,1047,712,674,193,14707
Liquefied gas tanker,39,23,2005,2004,2003,2004,665234318,724916637,557,882,945,896,156,11382
Chemical tanker,127,70,2007,2008,2008,2008,2450473559,4062740360,481,1172,1026,1030,583,44743
Oil tanker,232,113,2006,2006,2007,2007,18342593758,34222722291,410,1701,1845,1873,2900,224199
Refrigerated bulk,37,11,1994,1995,1993,1993,192919729,208352711,197,373,416,413,110,8349
Ro-Ro,2,2,1977,1977,1976,1976,2228212,3930310,838,838,793,758,3,233
Offshore,26,13,1988,1994,2004,2004,455653731,522611750,174,3039,2858,2445,142,10695
Service - other,41,26,1999,2001,1999,2000,458874827,395140318,706,3516,1576,1808,195,14805
Bulk carrier,54,25,2001,2006,2004,2003,3237468780,5962963614,534,2359,3553,3944,249,19175
Ferry-pax only,1,1,2000,2000,2000,2000,345919,52629,478,478,478,478,0,12
Miscellaneous - fishing,2,1,1980,1980,1980,1980,1300393,774070,1671,1671,1671,1671,2,143
